repo_name,problems_total,critical_issues,high_issues,moderate_issues,low_issues,problems
Growstuff_growstuff,9,8,1,0,0,"[('ESLint', 8), ('Unused local symbol', 1)]"
HTBox_MobileKidsIdApp,0,0,0,0,0,[]
Intelehealth_intelehealth-fhw-mobileapp,0,0,0,0,0,[]
JustFixNYC_tenants2,22,3,157,1024,0,"[('Unused local symbols', 583), ('Method is not declared static', 167), ('Shadowing built-in names', 70), ('Redundant parentheses', 58), ('Incorrect call arguments', 56), ('Incorrect type', 42), ('Accessing a protected member of a class or a modul', 40), ('PEP 8 naming convention violation', 37), ('Fixture is not requested by test functions', 26), ('Single quoted docstring', 16), ('An instance attribute is defined outside `__init__', 14), ('Function call can be replaced with set literal', 12), ('Shadowing names from outer scopes', 12), ('Unclear exception clauses', 11), ('Vulnerable declared dependency', 10), ('Improper first parameter', 9), ('The default argument is mutable', 7), ('admin.py                                                Unresolved references', 4), ('email_letter.py                                         Unresolved references', 4), ('landlord_info_mutation.py                               Unresolved references', 4), ('tasks.py                                                Unresolved references', 4), ('urls.py                                                 Unresolved references', 3), ('Deprecated function, class, or module', 3), ('sms_reminders.py                                        Unresolved references', 2), ('Hardcoded passwords', 2), ('Attempt to call a non-callable object', 2), ('Dictionary creation can be rewritten by dictionary', 2), ('schema.py                                               Unresolved references', 1), ('Single character alternation', 1), ('Statement has no effect', 1), ('Unbound local variables', 1), ('Unreachable code', 1), ('Class must implement all abstract methods', 1)]"
JustFixNYC_who-owns-what,163,1,57,82,0,"[('Unsatisfied package requirements', 51), ('Unused local symbols', 24), ('Shadowing names from outer scopes', 17), ('Shadowing built-in names', 13), ('The default argument is mutable', 10), ('Method is not declared static', 5), ('settings.py                                      Unresolved references', 4), ('apiutil.py                                       Unresolved references', 4), ('forms.py                                         Unresolved references', 4), ('Unbound local variables', 4), ('urls.py                                          Unresolved references', 3), ('manage.py                                        Unresolved references', 3), ('Incorrect docstring', 3), ('Redundant parentheses', 3), ('raisetesterror.py                                Unresolved references', 2), ('apps.py                                          Unresolved references', 2), ('Vulnerable declared dependency', 2), ('PEP 8 naming convention violation', 2), ('Single quoted docstring', 2), ('settings_pytest.py                               Unresolved references', 1), ('Hardcoded passwords', 1), ('Incorrect type', 1), ('Unreachable code', 1), ('Unclear exception clauses', 1)]"
LoopKit_LoopKit,0,0,0,0,0,[]
MuckRock_muckrock,24,2,1007,976,0,"[('Unsatisfied package requirements', 1007), ('PEP 8 naming convention violation', 249), ('Unused local symbols', 227), ('Method is not declared static', 219), ('An instance attribute is defined outside `__init__', 90), ('Unbound local variables', 31), ('Incorrect type', 30), ('Shadowing names from outer scopes', 30), ('Redundant parentheses', 25), ('Vulnerable declared dependency', 23), ('Function call can be replaced with set literal', 12), ('Accessing a protected member of a class or a modul', 9), ('Errors in string formatting operations', 7), ('Dictionary creation can be rewritten by dictionary', 7), ('Invalid TypedDict definition and usages', 6), ('pagination.py                               Unresolved references', 4), ('sitemap.py                                  Unresolved references', 4), ('storage.py                                  Unresolved references', 4), ('wsgi.py                                     Unresolved references', 4), ('celery.py                                   Unresolved references', 4), ('Redeclared names without usages', 3), ('manage.py                                   Unresolved references', 2), ('Single character alternation', 2), ('Statement has no effect', 2), ('Duplicated code fragment', 2), ('Inappropriate access to properties', 1), ('Incorrect call arguments', 1), ('Redundant boolean variable check', 1), ('Shadowing built-in names', 1), ('Too complex chained comparisons', 1), ('Unclear exception clauses', 1)]"
NREL_EnergyPlus,0,0,0,0,0,[]
NREL_OpenStudio-server,233,12,207,14,0,"[('Equality operator may cause type coercion', 109), ('Unused local symbol', 38), ('Unnecessary semicolon', 24), ('Duplicate declaration', 14), ('Hardcoded passwords', 12), ('Implicitly declared global JavaScript variable', 10), (""Potentially invalid reference to 'this' from closu"", 6), ('Referencing mutable variable from closure', 6), ('Void function return value used', 4), ('Deprecated symbol used', 4), (""'typeof' comparison with non-standard value"", 1), ('Assignment used as condition', 1), ('Mismatched query and update of collection', 1), ('Single character alternation', 1), ('Unnecessary non-capturing group', 1), ('Unused assignment', 1)]"
OADA_server,315,150,59,106,0,"[('ESLint', 148), ('Expression statement which is not assignment or ca', 85), ('Exception used for local control-flow', 21), ('Mismatched JSDoc and function signature', 18), ('Deprecated symbol used', 9), (""Redundant 'await' expression"", 8), ('Equality operator may cause type coercion', 6), ('Void function return value used', 6), ('Implicitly declared global JavaScript variable', 4), ('Unused assignment', 3), ('Unused import', 3), ('Attempt to assign to const or readonly variable', 1), ('Hardcoded passwords', 1), ('Inconsistent tsconfig.json properties', 1), ('Unsound type guard check', 1)]"
OneBusAway_onebusaway-android,0,0,0,0,0,[]
OpenBankProject_OBP-API,39,0,33,6,0,"[('Equality operator may cause type coercion', 11), ('JQuery selector can be optimized', 10), ('Duplicate declaration', 5), (""Potentially invalid reference to 'this' from closu"", 4), ('Deprecated symbol used', 3), ('Implicitly declared global JavaScript variable', 3), ('Assignment used as condition', 2), ('Unused local symbol', 1)]"
OpenEnergyDashboard_OED,9,374,286,379,0,"[('ESLint', 371), (""Redundant 'await' expression"", 219), ('Implicitly declared global JavaScript variable', 93), ('Syntax errors and unresolved references in JSDoc', 76), ('Unused local symbol', 75), ('Expression statement which is not assignment or ca', 40), ('Import can be shortened', 39), ('Mismatched JSDoc and function signature', 31), ('Void function return value used', 17), ('Incorrect usage of JSDoc tags', 16), ('Missing await for an async function call', 12), ('Result of method call returning a promise is ignor', 10), ('Equality operator may cause type coercion', 6), ('Duplicated code fragment', 6), ('Exception used for local control-flow', 5), ('Unused assignment', 5), ('Pointless statement or boolean expression', 4), (""Unnecessary 'return' statement"", 4), ('Attempt to assign to const or readonly variable', 3), ('Variable is assigned to itself', 3), ('Redundant local variable', 3), ('Mismatched query and update of collection', 2), ('Unnecessary semicolon', 2), ('Comparison of expressions having incompatible type', 2), ('Deprecated symbol used', 2), ('Unsound type guard check', 1), ('Field can be readonly', 1)]"
OpenLMIS_openlmis-ref-distro,32,0,3,13,0,"[('PEP 8 naming convention violation', 6), ('superset_config.py                               Unresolved references', 4), ('core.py                                          Unresolved references', 4), ('conf.py                                          Unresolved references', 4), ('collect-docs.py                                  Unresolved references', 4), ('Prohibited trailing semicolon in a statement', 2), ('Shadowing names from outer scopes', 2), ('Unused local symbols', 2), ('Deprecated function, class, or module', 1), ('Accessing a protected member of a class or a modul', 1), ('Method is not declared static', 1), ('Shadowing built-in names', 1)]"
OpenRefine_OpenRefine,991,0,627,100,0,"[(""'String.equals()' called with 'CharSequence' argum"", 88), ('Unused assignment', 63), ('Unnecessary non-capturing group', 59), ('Non-constant string concatenation as argument to l', 56), ('Nullability and data flow problems', 48), ('Constant values', 44), ('Vulnerable declared dependency', 39), ('Synchronization on local variable or method parame', 38), ('Result of method call ignored', 35), ('Number of placeholders does not match number of ar', 34), (""Redundant 'if' statement"", 33), ('Catch block may ignore exception', 30), ('Deprecated API usage', 28), (""Unnecessary 'null' check before method call"", 22), ('Javadoc declaration problems', 21), (""String concatenation as argument to 'StringBuilder"", 20), (""'static' method declared 'final'"", 19), ('Unnecessary modifier', 19), ('Simplifiable conditional expression', 17), ('Non-safe string is used as SQL', 16), (""'long' literal ending with 'l' instead of 'L'"", 13), (""'size() == 0' can be replaced with 'isEmpty()'"", 12), (""Field may be 'final'"", 11), ('Stream API call chain can be simplified', 9), (""Duplicate branches in 'switch'"", 9), ('Class is exposed outside of its visibility scope', 8), (""Call to 'printStackTrace()'"", 8), ('Duplicated code fragment', 8), (""'equals()' method that does not check the class of"", 7), ('Optional.get() is called without isPresent() check', 7), ('Single character alternation', 7), ('Synchronization on a non-final field', 7), (""'Optional' used as field or parameter type"", 6), ('Non-distinguishable logging calls', 6), ('Condition is covered by further condition', 6), ('Field can be local', 6), (""Inner class may be 'static'"", 5), ('Busy wait', 4), ('Taint analysis', 4), ('Wrapper type may be primitive', 4), (""'if' statement with identical branches or common p"", 4), ('Unnecessary semicolon', 4), (""'serialVersionUID' field not declared 'private sta"", 3), (""AutoCloseable used without 'try'-with-resources"", 3), (""Redundant 'Collection.addAll()' call"", 3), ('Statement with empty body', 3), ('Duplicate throws', 3), (""Redundant 'isInstance()' or 'cast()' call"", 3), ('RowFlagOperation.java                                                             Java sanity', 2), ('RowStarOperation.java                                                             Java sanity', 2), ('Coalesce.java                                                                     Java sanity', 2), ('Cross.java                                                                        Java sanity', 2), ('FacetCount.java                                                                   Java sanity', 2), ('Jsonize.java                                                                      Java sanity', 2), ('Length.java                                                                       Java sanity', 2), ('TimeSinceUnixEpochToDate.java                                                     Java sanity', 2), ('ToNumber.java                                                                     Java sanity', 2), ('ToString.java                                                                     Java sanity', 2), ('Type.java                                                                         Java sanity', 2), ('XmlAttr.java                                                                      Java sanity', 2), ('XmlText.java                                                                      Java sanity', 2), (""Call to 'System.getProperty(str)' could be simplif"", 2), ('Collection added to itself', 2), ('String concatenation in loop', 2), (""Suspicious 'System.arraycopy()' call"", 2), ('Unstable API Usage', 2), (""'while' can be replaced with 'do while'"", 2), ('Deprecated member is still used', 2), (""Standard 'Charset' object can be used"", 2), (""Unnecessary 'return' statement"", 2), ('BlankDownOperation.java                                                           Java sanity', 1), ('FillDownOperation.java                                                            Java sanity', 1), ('MassEditOperation.java                                                            Java sanity', 1), ('MultiValuedCellJoinOperation.java                                                 Java sanity', 1), ('TextTransformOperation.java                                                       Java sanity', 1), ('TransposeRowsIntoColumnsOperation.java                                            Java sanity', 1), ('ColumnAdditionOperation.java                                                      Java sanity', 1), ('ColumnRemovalOperation.java                                                       Java sanity', 1), ('ColumnRenameOperation.java                                                        Java sanity', 1), ('ColumnReorderOperation.java                                                       Java sanity', 1), ('ReconClearSimilarCellsOperation.java                                              Java sanity', 1), ('ReconCopyAcrossColumnsOperation.java                                              Java sanity', 1), ('ReconDiscardJudgmentsOperation.java                                               Java sanity', 1), ('ReconMarkNewTopicsOperation.java                                                  Java sanity', 1), ('ReconMatchBestCandidatesOperation.java                                            Java sanity', 1), ('ReconMatchSpecificTopicOperation.java                                             Java sanity', 1), ('ReconUseValuesAsIdentifiersOperation.java                                         Java sanity', 1), ('RowAdditionOperation.java                                                         Java sanity', 1), ('RowRemovalOperation.java                                                          Java sanity', 1), ('RowReorderOperation.java                                                          Java sanity', 1), ('ImporterUtilities.java                                                            Java sanity', 1), ('HasField.java                                                                     Java sanity', 1), ('Slice.java                                                                        Java sanity', 1), (""'Collection.toArray()' call style"", 1), ('Bulk operation can be used instead of iteration', 1), (""Call math rounding with 'int' argument"", 1), (""Empty 'finally' block"", 1), ('Integer division in floating-point context', 1), ('Manual array copy', 1), ('Manual array to collection copy', 1), ('Pointless boolean expression', 1), ('Redundant operation on empty container', 1), (""String comparison using '==', instead of 'equals()"", 1), ('Suspicious collection method call', 1), ('Unknown HTTP header', 1), ('Declaration has problems in Javadoc references', 1), ('Link specified as plain text', 1), (""Redundant 'Collection' operation"", 1), ('Redundant character escape', 1), ('Redundant local variable', 1), (""Unnecessary call to 'toString()'"", 1), (""Unnecessary conversion to 'String'"", 1), ('Commented out code', 1), ('Method can be extracted', 1), ('Regular expression can be simplified', 1)]"
OpenSourcePolitics_decidim,2,156,1815,59,0,"[('Comma expression', 652), ('Unused local symbol', 310), ('Syntax errors and unresolved references in JSDoc', 179), ('Unused assignment', 122), ('ESLint', 119), ('Assignment used as condition', 94), ('Mismatched JSDoc and function signature', 92), ('Equality operator may cause type coercion', 80), ('Duplicate declaration', 62), ('Deprecated symbol used', 54), ('Duplicate union or intersection type component', 50), ('TSLint', 37), ('Pointless statement or boolean expression', 24), ('Void function return value used', 21), ('Unnecessary semicolon', 19), ('Potentially invalid constructor usage', 18), ('JQuery selector can be optimized', 13), ('Unreachable code', 13), (""Fallthrough in 'switch' statement"", 10), ('Incorrect usage of JSDoc tags', 7), ('Bitwise operator usage', 6), ('Exception used for local control-flow', 6), ('Suspicious variable/parameter name combination', 5), ('Unnecessary non-capturing group', 5), ('Mismatched query and update of collection', 4), ('Primitive type object wrapper used', 4), (""Variable is declared and being used in different '"", 4), ('Implicitly declared global JavaScript variable', 3), (""'this' expression which references the global obje"", 2), (""'typeof' comparison with non-standard value"", 2), ('Referencing mutable variable from closure', 2), ('Unused import', 2), (""'throw' inside 'finally' block"", 1), ('Begin or end anchor in unexpected position', 1), ('Import can be shortened', 1), (""Loop statement that doesn't loop"", 1), ('Single character alternation', 1), (""Unnecessary 'return' statement"", 1), ('Variable is assigned to itself', 1), ('Comparison of expressions having incompatible type', 1), ('Unresolved JSX component', 1), ('Redundant local variable', 1), ('Regular expression can be simplified', 1)]"
